"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"5502","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","5506","0.0-0.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","","","","","","","","","","","","","","",""
"4916","","","survey-multi-choice","1","10425","0.0-1.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"10949","","","survey-multi-choice","2","21376","0.0-3.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"2674","","","survey-text","3","24054","0.0-5.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","{""Q0"":""601bbb6343f342598bbb38ea""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","27714","0.0-6.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","","","","true","","","","","","","","","","",""
"245685","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","273401","0.0-7.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","","instructions","","","","","","","","","","","","",""
"84123","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","357527","0.0-8.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","","instructions","","","","","","","","","","","","",""
"6297","","0","html-button-response","7","363825","0.0-9.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","","","","","","","","","","","","","","",""
"3890","The experiment is best in full screen mode, would you agree to switch to full screen?","0","html-button-response","8","367717","0.0-10.0-0.0-0.0-0.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","","","","","","","","","","","","","","",""
"","","","fullscreen","9","370088","0.0-10.0-0.0-0.0-1.0-0.0","Second_First","Male","601bbb6343f342598bbb38ea","5","To decide between options","","yes","Right handed","23","","","","","true","","","","","","","","","","",""
